"cd_assunto_nivel_1","cd_assunto_nivel_2","cd_assunto_nivel_3","cd_assunto_nivel_4","cd_assunto_nivel_5"
"8826","9148","9163","55266",
"8826","9148","9163","55267",
"8826","9148","9163","55268",
"8826","9148","9163","55269",
"8826","9148","9163","55270",
"8826","9148","9163","55271",
"8826","9148","9163","55271","55272"
"8826","9148","9163","55271","55273"
"8826","9148","9163","55271","55274"
"8826","9148","9163","55271","55275"
"8826","9148","9163","55276",
"8826","9148","9166",,
"8826","9148","9178",,
"8826","9148","9180",,
"8826","9148","9180","55279",
"8826","9148","9180","55280",
"8826","9148","9189",,
"8826","9148","9414",,
"8826","9148","9418",,
"8826","9148","9419",,
"8826","9148","9450",,
"8826","9148","9453",,
"8826","9148","9484",,
"8826","9148","9517",,
"8826","9148","9518",,
"8826","9148","9519",,
"8826","9148","9520",,
"8826","9192",,,
"8826","9192","55288",,
"8826","9192","9196",,
"8826","9192","9524",,
"8826","9192","9532",,
"899",,,,
"899","10431",,,
"899","7681",,,
"899","7681","7688",,
"899","7681","7688","4718",
"899","7681","7690",,
"899","7681","7690","10592",
"899","7681","7690","7703",
"899","7681","7690","7704",
"899","7681","7690","7705",
"899","7681","7690","7706",
"899","7681","7690","7707",
"899","7681","7690","7708",
"899","7681","7690","7709",
"899","7681","7690","7710",
"899","7681","7690","7711",
"899","7681","7691",,
"899","7681","7691","10582",
"899","7681","7691","7698",
"899","7681","7691","7700",
"899","7681","7694",,
"899","7681","7694","7714",
"899","7681","9580",,
"899","7681","9580","9593",
"899","7681","9580","9602",
"899","7681","9580","9608",
"899","7681","9580","9609",
"899","7947",,,
"899","7947","4701",,
"899","7947","4701","4703",
"899","7947","4701","4706",
"899","7947","5632",,
"9985",,,,
"9985","10088",,,
"9985","10088","10089",,
"9985","10088","10089","10096",
"9985","10088","10089","11870",
"9985","10088","10097",,
"9985","10088","10097","10098",
"9985","10088","10097","10099",
"9985","10088","10097","10100",
"9985","10088","10097","10101",
"9985","10186",,,
"9985","10186","10187",,
"9985","10186","10187","10188",
"9985","10186","10187","10189",
"9985","10186","10187","10190",
"9985","10186","10187","10191",
"9985","10186","10187","10192",
"9985","10186","10187","10193",
"9985","10186","10187","10675",
"9985","10186","10187","55000",
"9985","10186","10187","55001",
"9985","10219",,,
"9985","10219","10220",,
"9985","10219","10220","10222",
"9985","10219","10220","10223",
"9985","10219","10220","10224",
"9985","10219","10220","10225",
"9985","10219","10220","10226",
"9985","10219","10220","10227",
"9985","10219","10220","10228",
"9985","10219","10220","10229",
"9985","10219","10220","10230",
"9985","10219","10220","10231",
"9985","10219","10220","10232",
"9985","10219","10220","10233",
"9985","10219","10220","10234",
"9985","10219","10220","10235",
"9985","10219","10220","10236",
"9985","10219","10220","10237",
"9985","10219","10220","10238",
"9985","10219","10220","10239",
"9985","10219","10220","10240",
"9985","10219","10220","10241",
"9985","10219","10220","10693",
"9985","10219","10220","10881",
"9985","10219","10250",,
"9985","10219","10250","10251",
"9985","10219","10250","10252",
"9985","10219","10250","10253",
"9985","10219","10254",,
"9985","10219","10254","10255",
"9985","10219","10254","10256",
"9985","10219","10254","10257",
"9985","10219","10254","10878",
"9985","10219","10258",,
"9985","10219","10258","10259",
"9985","10219","10258","10260",
"9985","10219","10258","10261",
"9985","10219","10258","10261","10700"
"9985","10219","10258","10261","10701"
"9985","10219","10258","10262",
"9985","10219","10258","10263",
"9985","10219","10258","10264",
"9985","10219","10258","10265",
"9985","10219","10258","10266",
"9985","10219","10258","10267",
"9985","10219","10258","10268",
"9985","10219","10258","10269",
"9985","10219","10258","10270",
"9985","10219","10258","10271",
"9985","10219","10258","10272",
"9985","10219","10258","10273",
"9985","10219","10258","10274",
"9985","10219","10258","10275",
"9985","10219","10276",,
"9985","10219","10276","10277",
"9985","10219","10276","10278",
"9985","10219","10279",,
"9985","10219","10279","10280",
"9985","10219","10279","10281",
"9985","10219","10279","10282",
"9985","10219","10279","10283",
"9985","10219","10287",,
"9985","10219","10288",,
"9985","10219","10288","10221",
"9985","10219","10288","10221","10699"
"9985","10219","10288","10244",
"9985","10219","10288","10245",
"9985","10219","10288","10246",
"9985","10219","10288","10247",
"9985","10219","10288","10248",
"9985","10219","10288","10249",
"9985","10219","10288","10289",
"9985","10219","10288","10290",
"9985","10219","10288","10291",
"9985","10219","10288","10291","10875"
"9985","10219","10288","10292",
"9985","10219","10288","10293",
"9985","10219","10288","10294",
"9985","10219","10288","10295",
"9985","10219","10288","10296",
"9985","10219","10288","10297",
"9985","10219","10288","10298",
"9985","10219","10288","10299",
"9985","10219","10288","10300",
"9985","10219","10288","10301",
"9985","10219","10288","10301","10883"
"9985","10219","10288","10301","10884"
"9985","10219","10288","10302",
"9985","10219","10288","10302","10893"
"9985","10219","10288","10303",
"9985","10219","10288","10304",
"9985","10219","10288","10305",
"9985","10219","10288","10306",
"9985","10219","10288","10307",
"9985","10219","10288","10308",
"9985","10219","10288","10309",
"9985","10219","10288","10310",
"9985","10219","10288","10311",
"9985","10219","10288","10312",
"9985","10219","10288","10323",
"9985","10219","10288","10497",
"9985","10219","10288","10638",
"9985","10219","10288","10662",
"9985","10219","10288","10705",
"9985","10219","10288","10718",
"9985","10219","10288","10730",
"9985","10219","10288","11858",
"9985","10219","10313",,
"9985","10219","10313","10946",
"9985","10219","10695",,
"9985","10219","10695","10698",
"9985","10370",,,
"9985","10370","10371",,
"9985","10370","10372",,
"9985","10370","10373",,
"9985","10370","10374",,
"9985","10370","10375",,
"9985","10370","10376",,
